Name,City,IATA
Donegal Airport,Dongloe,CFN
Sindal Airport,Sindal,CNL
Leknes Airport,Leknes,LKN
Namsos Høknesøra Airport,Namsos,OSY
"Mo i Rana Airport, Røssvoll",Mo i Rana,MQN
"Rørvik Airport, Ryum",Rørvik,RVK
Røst Airport,Røst,RET
Sandane Airport (Anda),Sandane,SDN
Sogndal Airport,Sogndal,SOG
Svolvær Helle Airport,Svolvær,SVJ
Sørkjosen Airport,Sorkjosen,SOJ
"Vardø Airport, Svartnes",Vardø,VAW
Værøy Heliport,Værøy,VRY
Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,BZG
Łódź Władysław Reymont Airport,Lodz,LCJ
Åre Östersund Airport,Östersund,OSD
Hagfors Airport,Hagfors,HFS
Karlstad Airport,Karlstad,KSD
Torsby Airport,Torsby,TYF
Ängelholm-Helsingborg Airport,Ängelholm,AGH
Storuman Airport,Mohed,SQO
Hemavan Airport,Hemavan,HMV
Ventspils International Airport,Ventspils,VNT
Outer Skerries Airport,Outer Skerries,OUK
Logroño-Agoncillo Airport,Logroño-Agoncillo,RJL
Île d'Yeu Airport,Île d'Yeu,IDY
Angers-Loire Airport,Angers/Marcé,ANE
La Môle Airport,La Môle,LTT
Syros Airport,Syros Island,JSY
Pécs-Pogány Airport,Pécs-Pogány,PEV
Sármellék International Airport,Sármellék,SOB
Aosta Airport,Aosta,AOT
Salerno Costa d'Amalfi Airport,Salerno,QSR
Banja Luka International Airport,Banja Luka,BNX
Uşak Airport,Usak,USQ
Kars Airport,Kars,KSY
Şanlıurfa Airport,Sanliurfa,SFQ
Kahramanmaraş Airport,Kahramanmaras,KCM
Ağrı Airport,Agri,AJI
Adıyaman Airport,Adiyaman,ADF
Süleyman Demirel International Airport,Isparta,ISE
Balıkesir Körfez Airport,Balikesir Korfez,EDO
Samsun Çarşamba Airport,Samsun,SZF
Žilina Airport,Žilina,ILZ
Mariupol International Airport,Mariupol International,MPW
Luhansk International Airport,Lugansk,VSG
Zaporizhzhia International Airport,Zaporozhye,OZH
Kryvyi Rih International Airport,Krivoy Rog,KWG
Kharkiv International Airport,Kharkov,HRK
Ivano-Frankivsk International Airport,Ivano-Frankivsk,IFO
Chernivtsi International Airport,Chernovtsk,CWC
Rivne International Airport,Rivne,RWN
Uzhhorod International Airport,Uzhgorod,UDJ
Hrodna Airport,Hrodna,GNA
Mogilev Airport,Mogilev,MVQ
Inishmore Aerodrome,Inis Mor,IOR
Connemara Regional Airport,Indreabhan,NNR
Rügen Airport,Ruegen,GTI
Unst Airport,Unst,UNT
Oban Airport,North Connel,OBN
Courchevel Airport,Courcheval,CVF
La Rochelle-Île de Ré Airport,La Rochelle,LRH
Pajala Airport,Pajala,PJA
Mardin Airport,Mardin,MQM
Leon Airport,Leon,LEN
Burgos Airport,Burgos,RGS
Anadolu Airport,Eskissehir,AOE
Çanakkale Airport,Canakkale,CKZ
Muş Airport,Mus,MSR
Sinop Airport,Sinop,NOP
Tekirdağ Çorlu Airport,Çorlu,TEQ
Bursa Yenişehir Airport,Yenisehir,YEI
Hohenems-Dornbirn Airport,Hohenems,HOH
Sabadell Airport,Sabadell,QSA
Lympne Airport,Lympne,LYM
Porto Cheli Airport,Porto Heli,PKH
Lutsk Airport,Lutsk,UCK
Chernihiv Shestovitsa Airport,Chernigov,CEJ
Brest Airport,Brest,BQT
Wangerooge Airport,Wangerooge,AGE
Lausanne-Blécherette Airport,Lausanne,QLS
Locarno Airport,Locarno,ZJI
Neuchatel Airport,Neuchatel,QNC
Tuzla International Airport,Null,TZL
Langeoog Airport,Langeoog,LGO
Cherkasy International Airport,Cherkassy,CKC
Mykolaiv International Airport,Nikolayev,NLV
Interlaken Air Base,Interlaken,ZIN
Inisheer Aerodrome,Inisheer,INQ
Hatay Airport,Hatay,HTY
Lleida-Alguaire Airport,Lleida,ILD
Inishmaan Aerodrome,Inishmaan,IIA
Huesca/Pirineos Airport,Huesca,HSK
Ciudad Real Central Airport,Ciudad Real,CQM
Colonsay Airstrip,Colonsay,CSA
Kherson International Airport,Kherson,KHE
Fréjus Airport,Frejus,FRJ
Oristano-Fenosu Airport,Oristano,FNU
Wycombe Air Park,Wycombe,HYC
Bembridge Airport,Bembridge,BBP
Oksywie Military Air Base,Gdynia,QYD
Zonguldak Airport,Zonguldak,ONQ
Kirovograd Airport,Kirovograd,KGO
Belbek Airport,Sevastopol,UKS
Stafsberg Airport,Hamar,HMR
Lahr Airport,Lahr,LHA
Cochstedt Airport,Cochstedt,CSO
Kerch Airport,Kerch,KHC
Gostomel Airport,Kyiv,GML
Radom Airport,RADOM,RDO
Megève Airport,Verdun,MVV
Méribel Altiport,Ajaccio,MFX
Köthen Airport,Koethen,KOQ
St. Peter-Ording Airport,Sankt Peter-Ording,PSH
Vinnytsia/Gavyryshivka Airport,Vinnitsa,VIN
Gazipaşa Airport,Alanya,GZP
Suprunovka Airport,Poltava,PLV
Modlin Airport,Warsaw,WMI
Khmelnytskyi Airport,Khmeinitskiy,HMJ
Buochs Airport,Buochs,BXO
Perth/Scone Airport,Perth,PSL
Söderhamn Airport,Soderhamn,SOO
Bantry Aerodrome,Bantry,BYT
Peenemünde Airport,Peenemunde,PEF
Duxford Aerodrome,Duxford,QFO
Lublin Airport,Lublin,LUZ
Lošinj Island Airport,Mali Losinj,LSZ
Bitburg Airport,Birburg,BBJ
Rochester Airport,Rochester,RCS
Zhytomyr Airport,Zhytomyr,ZTR
Redhill Aerodrome,Redhill,KRH
Iğdır Airport,Igdir,IGD
Şanlıurfa GAP Airport,Sanliurfa,GNY
Zafer Airport,Kutahya,KZR
Neumünster Airport,Neumuenster,EUM
Bingöl Çeltiksuyu Airport,Bingol,BGG
Kastamonu Airport,Kastamonu,KFS
Comiso Airport,Comiso,CIY
Fontaine Airport,Belfort,BOR
Bursa Airport,Bursa,BTZ
Taszár Air Base,Columbus,TZR
Şırnak Şerafettin Elçi Airport,Cizre,NKT
